"id","presente","id_vereador","id_sessao","timestamp"
1,true,1,2,2019-11-26 23:15:18
2,true,1,4,2019-11-26 23:16:04
3,true,1,5,2019-11-26 23:16:04
4,true,1,7,2019-11-26 23:16:04
5,true,1,10,2019-11-26 23:16:04
6,true,1,11,2019-11-26 23:16:04
7,true,1,15,2019-11-26 23:16:04
8,true,1,16,2019-11-26 23:16:04
9,true,1,18,2019-11-26 23:16:04
10,true,1,20,2019-11-26 23:16:04
11,true,1,32,2019-11-26 23:16:04
12,true,1,39,2019-11-26 23:16:04
13,true,1,43,2019-11-26 23:16:04
14,true,1,45,2019-11-26 23:16:04
15,true,1,47,2019-11-26 23:16:04
16,true,1,48,2019-11-26 23:16:04
17,true,1,50,2019-11-26 23:16:04
18,true,1,59,2019-11-26 23:16:04
19,true,1,69,2019-11-26 23:16:04
20,true,1,70,2019-11-26 23:16:04
21,true,1,71,2019-11-26 23:16:05
22,true,1,72,2019-11-26 23:16:05
23,true,1,73,2019-11-26 23:16:05
24,true,1,74,2019-11-26 23:16:05
25,true,1,76,2019-11-26 23:16:06
26,true,1,78,2019-11-26 23:16:06
27,true,1,81,2019-11-26 23:16:06
28,true,1,82,2019-11-26 23:16:06
29,true,1,83,2019-11-26 23:16:06
30,true,1,85,2019-11-26 23:16:06
31,true,1,86,2019-11-26 23:16:07
32,true,1,88,2019-11-26 23:16:07
33,true,1,89,2019-11-26 23:16:07
34,true,1,93,2019-11-26 23:16:07
35,true,1,94,2019-11-26 23:16:07
36,true,1,95,2019-11-26 23:16:07
37,true,1,96,2019-11-26 23:16:07
38,true,1,97,2019-11-26 23:16:07
39,true,1,98,2019-11-26 23:16:07
40,true,1,100,2019-11-26 23:16:07
41,true,1,101,2019-11-26 23:16:07
42,true,1,102,2019-11-26 23:16:07
43,true,1,103,2019-11-26 23:16:07
44,true,1,104,2019-11-26 23:16:07
45,true,1,106,2019-11-26 23:16:07
46,true,1,107,2019-11-26 23:16:07
47,true,1,108,2019-11-26 23:16:07
48,true,1,109,2019-11-26 23:16:07
49,true,1,111,2019-11-26 23:16:07
50,true,1,113,2019-11-26 23:16:07
51,true,1,114,2019-11-26 23:16:07
52,true,1,119,2019-11-26 23:16:07
53,true,1,122,2019-11-26 23:16:07
54,true,1,123,2019-11-26 23:16:07
55,true,1,125,2019-11-26 23:16:07
56,true,1,126,2019-11-26 23:16:07
57,true,1,127,2019-11-26 23:16:07
58,true,1,128,2019-11-26 23:16:07
59,true,1,129,2019-11-26 23:16:07
60,true,1,130,2019-11-26 23:16:07
61,true,1,131,2019-11-26 23:16:07
62,true,1,134,2019-11-26 23:16:07
63,true,1,136,2019-11-26 23:16:07
64,true,1,137,2019-11-26 23:16:07
65,true,1,138,2019-11-26 23:16:07
66,true,1,144,2019-11-26 23:16:07
67,true,1,145,2019-11-26 23:16:07
68,true,1,157,2019-11-26 23:16:08
69,true,1,158,2019-11-26 23:16:08
70,true,1,159,2019-11-26 23:16:08
71,true,1,161,2019-11-26 23:16:08
72,true,1,162,2019-11-26 23:16:08
73,true,1,164,2019-11-26 23:16:08
74,true,1,165,2019-11-26 23:16:08
75,true,1,166,2019-11-26 23:16:08
