"id","vereador","aluguel","condominio","energia","agua","iptu_tpei","internet_telefone","trasporte_hospedagens","locacao_automovel","pecas_veiculos","servicos","material_expediente","locacao_equipamentos","assinaturas_jornais","servicos_graficos","total_apresentado","glosa","pago_no_mes","media_mensal","media_mensal_acumulada","data","timestamp","id_vereador"
1228,GILBERTO ALVES,0,0,0,0,0,0,0,4553,0,0,0,0,0,0,4553,0,4553,4489.625,0,"2018/04",2019-11-24 21:49:04,5
1221,FRED FERREIRA,0,0,0,0,0,0,0,4600,0,0,0,0,0,0,4600,0,4600,4565.893333333333,0,"2018/09",2019-11-24 21:49:04,29
1025,ALCIDES TEIXEIRA NETO,1500,0,174.98,83.6,0,172.81,0,2800,0,0,0,0,0,0,4731.389999999999,131.39,4599.999999999999,4600,0,"2018/05",2019-11-24 21:49:00,45
1218,FRED FERREIRA,0,0,0,0,0,0,0,4600,0,0,0,0,0,0,4600,0.1,4599.9,4548.84,0,"2018/06",2019-11-24 21:49:04,29
1199,EDUARDO MARQUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/11",2019-11-24 21:49:03,32
1196,EDUARDO MARQUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/08",2019-11-24 21:49:03,32
1197,EDUARDO MARQUES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/09",2019-11-24 21:49:03,32
1217,FRED FERREIRA,0,0,0,0,0,0,0,4753.33,0,0,0,0,0,0,4753.33,153.33,4600,4538.628,0,"2018/05",2019-11-24 21:49:04,29
1201,FELIPE FRANCISMAR,0,0,0,0,0,0,0,3720,0,0,0,0,0,0,3720,0,3720,3720,0,"2018/01",2019-11-24 21:49:03,44
1208,FELIPE FRANCISMAR,0,0,0,0,0,0,0,3720,0,0,0,0,0,0,3720,0,3720,3645,0,"2018/08",2019-11-24 21:49:03,44
1205,FELIPE FRANCISMAR,0,0,0,0,0,0,0,3720,0,0,0,0,0,0,3720,0,3720,3624,0,"2018/05",2019-11-24 21:49:03,44
1224,FRED FERREIRA,0,0,0,0,0,0,0,4753.23,0,0,0,0,0,0,4753.23,153.23,4600,4574.42,0,"2018/12",2019-11-24 21:49:04,29
1206,FELIPE FRANCISMAR,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,3600,0,3600,3620,0,"2018/06",2019-11-24 21:49:03,44
1214,FRED FERREIRA,0,0,0,0,0,0,0,4293.33,0,0,0,0,0,0,4293.33,0.09,4293.24,4446.62,0,"2018/02",2019-11-24 21:49:04,29
1222,FRED FERREIRA,0,0,0,0,0,0,0,4753.33,0,0,0,0,0,0,4753.33,153.33,4600,4569.304,0,"2018/10",2019-11-24 21:49:04,29
1210,FELIPE FRANCISMAR,0,0,0,0,0,0,0,3720,0,0,0,0,0,0,3720,0,3720,3648,0,"2018/10",2019-11-24 21:49:03,44
1212,FELIPE FRANCISMAR,0,0,0,0,0,0,0,3720,0,0,0,0,0,0,3720,0,3720,3650,0,"2018/12",2019-11-24 21:49:04,44
1230,GILBERTO ALVES,0,0,0,0,0,0,0,4553,0,0,0,0,0,0,4553,0,4553,4481.083333333333,0,"2018/06",2019-11-24 21:49:04,5
1215,FRED FERREIRA,0,0,0,0,0,0,0,4753.33,0,0,0,0,0,0,4753.33,153.33,4600,4497.746666666667,0,"2018/03",2019-11-24 21:49:04,29
1220,FRED FERREIRA,0,0,0,0,0,0,0,4753.33,0,0,0,0,0,0,4753.33,153.33,4600,4561.63,0,"2018/08",2019-11-24 21:49:04,29
1219,FRED FERREIRA,0,0,0,0,0,0,0,4753.33,0,0,0,0,0,0,4753.33,153.33,4600,4556.148571428572,0,"2018/07",2019-11-24 21:49:04,29
