"id","vereador","total_vantagens","descontos_totais","valor_liquido","data","timestamp","id_vereador"
431,CARLOS ALBERTO GUEIROS,14635,4346.38,10288.62,"2017/07",2019-11-23 12:25:40,18
469,CARLOS ALBERTO GUEIROS,14635,4373.62,10261.38,"2017/02",2019-11-23 12:25:41,18
414,RODRIGO B COUTINHO DE MELO,29270,7192.76,22077.24,"2017/12",2019-11-23 12:25:40,19
452,RODRIGO B COUTINHO DE MELO,14635,3596.38,11038.62,"2017/07",2019-11-23 12:25:41,19
463,AMARO CIPRIANO DE LIMA,14635,4373.62,10261.38,"2017/02",2019-11-23 12:25:41,20
433,DAVI BERNARDO MUNIZ,14635,10288.67,4346.33,"2017/07",2019-11-23 12:25:40,21
471,DAVI BERNARDO MUNIZ,14635,5186.69,9448.31,"2017/02",2019-11-23 12:25:41,21
436,FRANCISCO FERREIRA DA S FILHO,14635,3766.74,10868.26,"2017/07",2019-11-23 12:25:40,22
442,JAIRO XAVIER DE BRITTO,14635,3596.38,11038.62,"2017/07",2019-11-23 12:25:41,23
480,JAIRO XAVIER DE BRITTO,14635,3623.62,11011.38,"2017/02",2019-11-23 12:25:41,23
415,ROGERIO LIMA DE LUCCA,29270,6206.26,23063.74,"2017/12",2019-11-23 12:25:40,24
453,ROGERIO LIMA DE LUCCA,14635,3103.13,11531.87,"2017/07",2019-11-23 12:25:41,24
449,RAFAEL ACIOLI MEDEIROS,14635,4328.13,10306.87,"2017/07",2019-11-23 12:25:41,25
409,NATALIA R COUTO BARBOSA,29270,12405.03,16864.97,"2017/12",2019-11-23 12:25:40,26
447,NATALIA R COUTO BARBOSA,14635,8808.65,5826.35,"2017/07",2019-11-23 12:25:41,26
410,PAULO RENATO A GUIMARAES,29270,8970.4,20299.6,"2017/12",2019-11-23 12:25:40,27
448,PAULO RENATO A GUIMARAES,14635,4185.2,10449.8,"2017/07",2019-11-23 12:25:41,27
451,RINALDO ALVES DE L JUNIOR,14635,3439.97,11195.03,"2017/07",2019-11-23 12:25:41,28
424,ALMIR FERNANDO ALVES,14635,3492.11,11142.89,"2017/07",2019-11-23 12:25:40,8
472,EDUARDO AMORIM MARQUES CUNHA,14635,3623.62,11011.38,"2017/02",2019-11-23 12:25:41,32
444,MARCO AURELIO DE M  LIMA,14635,8000.66,6634.34,"2017/07",2019-11-23 12:25:41,34
420,AERTO DE BRITO LUNA,14635,6277.88,8357.12,"2017/07",2019-11-23 12:25:40,39
458,AERTO DE BRITO LUNA,14635,4251.09,10383.91,"2017/02",2019-11-23 12:25:41,39
473,EDUARDO PEREIRA DA SILVA,14635,3467.2,11167.8,"2017/02",2019-11-23 12:25:41,35
426,ANA LUCIA DO REGO FERREIRA,14635,3544.25,11090.75,"2017/07",2019-11-23 12:25:40,36
464,ANA LUCIA DO REGO FERREIRA,14635,3623.62,11011.38,"2017/02",2019-11-23 12:25:41,36
401,HELIO BATISTA DE OLIVEIRA,29270,16030.18,13239.82,"2017/12",2019-11-23 12:25:40,37
439,HELIO BATISTA DE OLIVEIRA,14635,11110.47,3524.53,"2017/07",2019-11-23 12:25:41,37
407,MARCOS ANTONIO GOMES DA SILVA,29270,11645.25,17624.75,"2017/12",2019-11-23 12:25:40,38
416,ROMERO JATOBA C NETO,29270,7192.76,22077.24,"2017/12",2019-11-23 12:25:40,10
419,ADERALDO DE OLIVEIRA FLORENCIO,14635,8789.7,5845.3,"2017/07",2019-11-23 12:25:40,40
457,ADERALDO DE OLIVEIRA FLORENCIO,14635,3623.62,11011.38,"2017/02",2019-11-23 12:25:41,40
403,IVAN V DE MORAES FILHO,29270,7088.5,22181.5,"2017/12",2019-11-23 12:25:40,41
