"id","nome","tipo","abertura","encerramento","data_sessao","lista_de_presenca","timestamp"
5,"99ª Sessão Ordinária da 3ª Sessão Legislativa da 17ª Legislatura 12 de Novembro de 2019 (Terça-feira)",Ordinária,"15:00","18:00","2019/11/12","{Aderaldo Pinto/PSB,Aerto Luna/PRP,Aimee Carvalho/PSB,Alcides Teixeira Neto/,Aline Mariano/PP,Almir Fernando/PC DO B,Amaro Cipriano/PSB,André Régis/PSDB,Augusto Carreras/PSB,Benjamim da Saúde/PATRIOTAS,Chico Kiko/PP,Davi Muniz/PATRIOTAS,Eduardo Marques/PSB,Eriberto Rafael/PTC,Felipe Francismar/PSB,Fred Ferreira/PSC,Gilberto Alves/PSD,Goretti Queiroz/PSC,Hélio Guabiraba/,Ivan Moraes/PSOL,Jayme Asfora/,João da Costa/PT,Júnior Bocão/PSDB,Marcos di Bria/PSDC,Missionária Michele Collins/PP,Natália de Menudo/PSB,Professora Ana Lúcia/PRB,Renato Antunes/PSC,Ricardo Cruz/Cidadania,Rinaldo Júnior/PSB,Rodrigo Coutinho/SDD,Rogério de Lucca/PSL,Romerinho Jatobá/PROS,Samuel Salazar/}",2019-11-21 01:50:29
6,"19ª Sessão Extraordinária da 3ª Sessão Legislativa da 17ª Legislatura 12 de Novembro de 2019 (Terça-feira)",Extraordinária,"17:43","18:00","2019/11/12",{Não há presenças registradas na abertura da Sessão.},2019-11-21 01:50:30
7,"98ª Sessão Ordinária da 3ª Sessão Legislativa da 17ª Legislatura 11 de Novembro de 2019 (Segunda-feira)",Ordinária,"15:00","18:00","2019/11/11","{Aderaldo Pinto/PSB,Aerto Luna/PRP,Aimee Carvalho/PSB,Alcides Teixeira Neto/,Almir Fernando/PC DO B,Amaro Cipriano/PSB,André Régis/PSDB,Antonio Luiz Neto/PTB,Augusto Carreras/PSB,Eriberto Rafael/PTC,Felipe Francismar/PSB,Gilberto Alves/PSD,Goretti Queiroz/PSC,Hélio Guabiraba/,Ivan Moraes/PSOL,Jairo Britto/PT,Jayme Asfora/,João da Costa/PT,Júnior Bocão/PSDB,Marcos di Bria/PSDC,Missionária Michele Collins/PP,Natália de Menudo/PSB,Professora Ana Lúcia/PRB,Renato Antunes/PSC,Ricardo Cruz/Cidadania,Rinaldo Júnior/PSB,Rodrigo Coutinho/SDD,Rogério de Lucca/PSL,Romerinho Jatobá/PROS,Samuel Salazar/}",2019-11-21 01:50:36
8,"97ª Sessão Ordinária da 3ª Sessão Legislativa da 17ª Legislatura 06 de Novembro de 2019 (Quarta-feira)",Ordinária,"15:00","18:00","2019/11/06","{Aderaldo Pinto/PSB,Alcides Teixeira Neto/,Aline Mariano/PP,Almir Fernando/PC DO B,Amaro Cipriano/PSB,André Régis/PSDB,Chico Kiko/PP,Eduardo Marques/PSB,Felipe Francismar/PSB,Gilberto Alves/PSD,Hélio Guabiraba/,Ivan Moraes/PSOL,Jayme Asfora/,Júnior Bocão/PSDB,Professora Ana Lúcia/PRB,Renato Antunes/PSC,Ricardo Cruz/Cidadania,Rinaldo Júnior/PSB,Rogério de Lucca/PSL,Romerinho Jatobá/PROS,Samuel Salazar/}",2019-11-21 01:51:30
9,"96ª Sessão Ordinária da 3ª Sessão Legislativa da 17ª Legislatura 05 de Novembro de 2019 (Terça-feira)",Ordinária,"15:00","18:00","2019/11/05","{Aderaldo Pinto/PSB,Alcides Teixeira Neto/,Almir Fernando/PC DO B,Amaro Cipriano/PSB,André Régis/PSDB,Antonio Luiz Neto/PTB,Benjamim da Saúde/PATRIOTAS,Chico Kiko/PP,Eduardo Chera/PSC,Eduardo Marques/PSB,Eriberto Rafael/PTC,Felipe Francismar/PSB,Fred Ferreira/PSC,Goretti Queiroz/PSC,Hélio Guabiraba/,Ivan Moraes/PSOL,Júnior Bocão/PSDB,Marcos di Bria/PSDC,Missionária Michele Collins/PP,Natália de Menudo/PSB,Rinaldo Júnior/PSB,Rogério de Lucca/PSL,Romerinho Jatobá/PROS,Samuel Salazar/}",2019-11-21 01:51:34
10,"95ª Sessão Ordinária da 3ª Sessão Legislativa da 17ª Legislatura 04 de Novembro de 2019 (Segunda-feira)",Ordinária,"15:00","18:00","2019/11/04","{Aderaldo Pinto/PSB,Aerto Luna/PRP,Alcides Teixeira Neto/,Aline Mariano/PP,Almir Fernando/PC DO B,Amaro Cipriano/PSB,André Régis/PSDB,Augusto Carreras/PSB,Davi Muniz/PATRIOTAS,Eduardo Chera/PSC,Felipe Francismar/PSB,Gilberto Alves/PSD,Goretti Queiroz/PSC,Hélio Guabiraba/,Ivan Moraes/PSOL,Jairo Britto/PT,Jayme Asfora/,Júnior Bocão/PSDB,Missionária Michele Collins/PP,Ricardo Cruz/Cidadania,Rinaldo Júnior/PSB,Rogério de Lucca/PSL,Samuel Salazar/,Wilton Brito/PP}",2019-11-21 01:51:43
55,"57ª Sessão Ordinária da 3ª Sessão Legislativa da 17ª Legislatura 05 de Agosto de 2019 (Segunda-feira)",Ordinária,"15:00","18:00","2019/08/05",{Não há presenças registradas na abertura da Sessão.},2019-11-21 01:56:01
11,"94ª Sessão Ordinária da 3ª Sessão Legislativa da 17ª Legislatura 30 de Outubro de 2019 (Quarta-feira)",Ordinária,"15:00","18:00","2019/10/30","{Aderaldo Pinto/PSB,Aimee Carvalho/PSB,Alcides Teixeira Neto/,Almir Fernando/PC DO B,Amaro Cipriano/PSB,Antonio Luiz Neto/PTB,Augusto Carreras/PSB,Benjamim da Saúde/PATRIOTAS,Chico Kiko/PP,Eduardo Chera/PSC,Eduardo Marques/PSB,Eriberto Rafael/PTC,Felipe Francismar/PSB,Fred Ferreira/PSC,Gilberto Alves/PSD,Goretti Queiroz/PSC,Hélio Guabiraba/,Ivan Moraes/PSOL,João da Costa/PT,Júnior Bocão/PSDB,Marcos di Bria/PSDC,Natália de Menudo/PSB,Professora Ana Lúcia/PRB,Renato Antunes/PSC,Rinaldo Júnior/PSB,Rodrigo Coutinho/SDD,Romerinho Jatobá/PROS,Samuel Salazar/,Wilton Brito/PP}",2019-11-21 01:51:51
12,"18ª Sessão Extraordinária da 3ª Sessão Legislativa da 17ª Legislatura 30 de Outubro de 2019 (Quarta-feira)",Extraordinária,"16:00","18:00","2019/10/30",{Não há presenças registradas na abertura da Sessão.},2019-11-21 01:51:52
13,"93ª Sessão Ordinária da 3ª Sessão Legislativa da 17ª Legislatura 29 de Outubro de 2019 (Terça-feira)",Ordinária,"15:00","18:00","2019/10/29","{Aderaldo Pinto/PSB,Aimee Carvalho/PSB,Alcides Teixeira Neto/,Almir Fernando/PC DO B,Amaro Cipriano/PSB,Benjamim da Saúde/PATRIOTAS,Chico Kiko/PP,Davi Muniz/PATRIOTAS,Eduardo Chera/PSC,Eduardo Marques/PSB,Eriberto Rafael/PTC,Felipe Francismar/PSB,Gilberto Alves/PSD,Goretti Queiroz/PSC,Hélio Guabiraba/,Ivan Moraes/PSOL,João da Costa/PT,Júnior Bocão/PSDB,Marcos di Bria/PSDC,Renato Antunes/PSC,Rinaldo Júnior/PSB,Rodrigo Coutinho/SDD,Samuel Salazar/,Wilton Brito/PP}",2019-11-21 01:51:57
